"author","degree","community"
"Zongwu Cai",14,9
"Annie Qu",11,9
"Jianxin Pan",10,9
"Xiaoping Xu",10,9
"Arnab Maity",9,9
"Byeong U Park",9,9
"Jens Perch Nielsen",9,9
"Kyusang Yu",9,9
"Weiping Zhang",8,9
"Ying Wei",8,9
"Zhongyi Zhu",8,9
"Wing K Fung",7,9
"Huixia Judy Wang",6,9
"Jianhui Zhou",6,9
"Roger Koenker",6,9
"Peter Hall",101,10
"Hans-Georg Muller",62,10
"Fang Yao",44,10
"Jane-Ling Wang",44,10
"Lixing Zhu",44,10
"Hua Liang",35,10
"Gerda Claeskens",19,10
"Jeffrey S Morris",18,10
"Yanyuan Ma",17,10
"Yehua Li",17,10
"Ciprian M Crainiceanu",16,10
"Aurore Delaigle",15,10
"David Ruppert",15,10
"Jeng-Min Chiou",14,10
"Wensheng Guo",13,10
"Piotr Kokoszka",12,10
"Wolfgang Karl Hardle",11,10
"Anastasios A Tsiatis",10,10
"Liugen Xue",10,10
"Alexander Meister",9,10
"Hansheng Wang",46,11
"Bing Li",26,11
"R Dennis Cook",26,11
"Yingcun Xia",26,11
"Liping Zhu",24,11
"Chih-Ling Tsai",20,11
"Lexin Li",19,11
"Liqiang Ni",12,11
"Francesca Chiaromonte",9,11
"Peng Zeng",8,11
"Changliang Zou",7,11
"Hongyuan Zha",7,11
"Mathias Drton",7,11
"Xiangrong Yin",7,11
"Robert E Weiss",6,11
"Shaoli Wang",6,11
"Yuexiao Dong",6,11
"Zhishen Ye",6,11
"Howard D Bondell",5,11
"Ronghua Luo",5,11
"Hao Helen Zhang",41,12
"Xiaotong Shen",26,12
"Yufeng Liu",26,12
"Yichao Wu",25,12
"J S Marron",19,12
"Jeongyoun Ahn",9,12
"Michael J Todd",9,12
"Junhui Wang",7,12
"Wing Hung Wong",7,12
"Yongdai Kim",7,12
"Amnon Neeman",6,12
"George C Tseng",6,12
"Xuegong Zhang",6,12
"Andrew B Nobel",5,12
"Jon D McAuliffe",5,12
"Keith M Muller",5,12
"Yueh-Yun Chi",5,12
"Grace Wahba",4,12
"Yao-Ban Chan",4,12
"Yoonkyung Lee",4,12
"Jianqing Fan",146,13
"Qiwei Yao",29,13
"Song Xi Chen",28,13
"Yacine Ait-Sahalia",18,13
"Yazhen Wang",18,13
"Cheng Yong Tang",16,13
"Bo Li",11,13
"Jian Zou",9,13
"Liang Peng",8,13
"Sam Efromovich",8,13
"Jiancheng Jiang",7,13
"Per Aslak Mykland",7,13
"Bing-Yi Jing",6,13
"Lan Zhang",6,13
"Neil Bathia",6,13
"Xin-Bing Kong",6,13
"Zhi Liu",6,13
"Ke Yu",5,13
"Michael Sherman",5,13
"Tatiyana V Apanasovich",5,13
"Peter J Bickel",47,14
"Cun-Hui Zhang",45,14
"Alexandre B Tsybakov",38,14
"Jian Huang",35,14
"Emmanuel J Candes",21,14
"Martin J Wainwright",16,14
"Terence Tao",16,14
"Sara van de Geer",15,14
"Alexandre Belloni",13,14
"Lukas Meier",13,14
"Marten H Wegkamp",13,14
"Victor Chernozhukov",11,14
"Vladimir Koltchinskii",10,14
"Yaacov Ritov",10,14
"Karim Lounici",9,14
"Florentina Bunea",8,14
"Tong Zhang",8,14
"Sahand Negahban",7,14
"Sara A van de Geer",7,14
"Marc Hallin",6,14
"Hui Zou",94,15
"Runze Li",65,15
"Peter Buhlmann",48,15
"Nicolai Meinshausen",43,15
"Yi Lin",42,15
"Elizaveta Levina",40,15
"Ming Yuan",39,15
"Trevor J Hastie",39,15
"Jianhua Z Huang",34,15
"Ji Zhu",33,15
"Heng Peng",31,15
"Chenlei Leng",30,15
"Jinchi Lv",30,15
"Joel L Horowitz",30,15
"Shuangge Ma",27,15
"Robert J Tibshirani",22,15
"Mohsen Pourahmadi",21,15
"Gareth M James",20,15
"Hongzhe Li",17,15
"Bin Yu",16,15
